================ Training Loss (Mon Mar 10 16:41:22 2025) ================
(epoch: 65, iters: 100, time: 0.081, data: 0.246) D_A: 0.301 G_A: 0.439 cycle_A: 0.534 idt_A: 0.328 D_B: 0.209 G_B: 0.303 cycle_B: 0.664 idt_B: 0.230 
(epoch: 66, iters: 50, time: 0.083, data: 0.002) D_A: 0.227 G_A: 0.818 cycle_A: 0.529 idt_A: 0.394 D_B: 0.278 G_B: 0.792 cycle_B: 0.879 idt_B: 0.230 
(epoch: 66, iters: 150, time: 0.080, data: 0.002) D_A: 0.241 G_A: 0.488 cycle_A: 1.078 idt_A: 0.369 D_B: 0.210 G_B: 0.211 cycle_B: 0.944 idt_B: 0.517 
(epoch: 67, iters: 100, time: 0.681, data: 0.241) D_A: 0.179 G_A: 0.234 cycle_A: 0.841 idt_A: 0.403 D_B: 0.068 G_B: 0.431 cycle_B: 0.738 idt_B: 0.369 
(epoch: 68, iters: 50, time: 0.080, data: 0.001) D_A: 0.299 G_A: 0.229 cycle_A: 0.740 idt_A: 0.478 D_B: 0.306 G_B: 0.287 cycle_B: 0.922 idt_B: 0.354 
(epoch: 68, iters: 150, time: 0.080, data: 0.002) D_A: 0.302 G_A: 0.246 cycle_A: 1.156 idt_A: 0.275 D_B: 0.119 G_B: 0.330 cycle_B: 0.705 idt_B: 0.656 
(epoch: 69, iters: 100, time: 0.079, data: 0.244) D_A: 0.416 G_A: 0.113 cycle_A: 0.517 idt_A: 0.320 D_B: 0.228 G_B: 0.275 cycle_B: 0.718 idt_B: 0.227 
(epoch: 70, iters: 50, time: 0.598, data: 0.001) D_A: 0.300 G_A: 0.154 cycle_A: 0.564 idt_A: 0.690 D_B: 0.251 G_B: 0.334 cycle_B: 1.403 idt_B: 0.239 
(epoch: 70, iters: 150, time: 0.080, data: 0.001) D_A: 0.226 G_A: 0.179 cycle_A: 0.642 idt_A: 0.309 D_B: 0.289 G_B: 0.451 cycle_B: 0.730 idt_B: 0.412 
(epoch: 71, iters: 100, time: 0.081, data: 0.245) D_A: 0.132 G_A: 0.378 cycle_A: 0.563 idt_A: 0.233 D_B: 0.185 G_B: 0.750 cycle_B: 0.551 idt_B: 0.231 
(epoch: 72, iters: 50, time: 0.072, data: 0.001) D_A: 0.160 G_A: 0.193 cycle_A: 0.610 idt_A: 0.454 D_B: 0.355 G_B: 0.157 cycle_B: 0.989 idt_B: 0.259 
(epoch: 72, iters: 150, time: 0.701, data: 0.002) D_A: 0.175 G_A: 0.141 cycle_A: 0.573 idt_A: 0.326 D_B: 0.161 G_B: 0.257 cycle_B: 0.638 idt_B: 0.278 
(epoch: 73, iters: 100, time: 0.079, data: 0.244) D_A: 0.113 G_A: 0.207 cycle_A: 0.668 idt_A: 0.450 D_B: 0.183 G_B: 0.185 cycle_B: 1.094 idt_B: 0.312 
(epoch: 74, iters: 50, time: 0.081, data: 0.001) D_A: 0.309 G_A: 0.917 cycle_A: 0.717 idt_A: 0.513 D_B: 0.194 G_B: 0.177 cycle_B: 1.203 idt_B: 0.360 
(epoch: 74, iters: 150, time: 0.080, data: 0.002) D_A: 0.184 G_A: 0.492 cycle_A: 0.723 idt_A: 0.455 D_B: 0.189 G_B: 0.221 cycle_B: 1.010 idt_B: 0.335 
(epoch: 75, iters: 100, time: 0.788, data: 0.244) D_A: 0.307 G_A: 0.437 cycle_A: 0.659 idt_A: 0.332 D_B: 0.261 G_B: 0.741 cycle_B: 0.656 idt_B: 0.325 
(epoch: 76, iters: 50, time: 0.080, data: 0.002) D_A: 0.136 G_A: 0.852 cycle_A: 0.585 idt_A: 0.292 D_B: 0.137 G_B: 0.461 cycle_B: 0.579 idt_B: 0.234 
(epoch: 76, iters: 150, time: 0.080, data: 0.002) D_A: 0.369 G_A: 0.290 cycle_A: 0.786 idt_A: 0.186 D_B: 0.366 G_B: 0.299 cycle_B: 0.429 idt_B: 0.411 
(epoch: 77, iters: 100, time: 0.081, data: 0.239) D_A: 0.215 G_A: 0.354 cycle_A: 2.166 idt_A: 0.535 D_B: 0.305 G_B: 0.396 cycle_B: 1.310 idt_B: 0.842 
(epoch: 78, iters: 50, time: 0.709, data: 0.001) D_A: 0.272 G_A: 0.370 cycle_A: 0.677 idt_A: 0.387 D_B: 0.287 G_B: 0.450 cycle_B: 0.904 idt_B: 0.256 
(epoch: 78, iters: 150, time: 0.081, data: 0.001) D_A: 0.102 G_A: 0.509 cycle_A: 1.038 idt_A: 0.493 D_B: 0.279 G_B: 0.525 cycle_B: 1.007 idt_B: 0.544 
(epoch: 79, iters: 100, time: 0.080, data: 0.248) D_A: 0.268 G_A: 0.164 cycle_A: 0.594 idt_A: 0.330 D_B: 0.221 G_B: 0.674 cycle_B: 0.777 idt_B: 0.254 
(epoch: 80, iters: 50, time: 0.080, data: 0.002) D_A: 0.180 G_A: 0.228 cycle_A: 0.970 idt_A: 0.322 D_B: 0.195 G_B: 0.185 cycle_B: 0.837 idt_B: 0.548 
